epoch,loss,lr,mean_io_u,precision,recall,val_loss,val_mean_io_u,val_precision,val_recall
0,0.500586986541748,1e-04,0.1898980289697647,0.7887512445449829,0.8577876091003418,0.7441751956939697,0.194299578666687,0.8777681589126587,0.4602358639240265
1,0.4590148627758026,1e-04,0.1898980587720871,0.8082870244979858,0.871662437915802,0.4432747960090637,0.1942996233701706,0.8190860748291016,0.8747655749320984
2,0.449235200881958,1e-04,0.18989808857440948,0.814007043838501,0.8791629076004028,0.423271507024765,0.1942995935678482,0.822566032409668,0.8803775906562805
3,0.4433640241622925,1e-04,0.18989793956279755,0.8192523121833801,0.8726841807365417,0.4298892617225647,0.194299578666687,0.8258396983146667,0.8707690238952637
4,0.4371599853038788,1e-04,0.18989795446395874,0.8187710046768188,0.8782598376274109,0.43007922172546387,0.19429966807365417,0.8169739246368408,0.8974931836128235
5,0.42737457156181335,1e-04,0.18989793956279755,0.824566125869751,0.8807926774024963,0.4025989770889282,0.1942995935678482,0.838769793510437,0.8810531497001648
6,0.42098376154899597,1e-04,0.18989810347557068,0.827699601650238,0.8836009502410889,0.43739065527915955,0.1942996233701706,0.8078113198280334,0.9084662199020386
7,0.41288623213768005,1e-04,0.1898980438709259,0.8323280811309814,0.8843821883201599,0.45764708518981934,0.1942996382713318,0.842326283454895,0.8419869542121887
